Traditional,POS,Redirect,RP,GA,PhonEng
Brandenburger,,,br'and@nb3:g@,br'and@nb3:g@`,br'and@nb@`g@`
brander,,,br'and@,br'and@`,
brandering,,,br'and@rIN,br'and@`rIN,br'and@`IN
Brandi,,,br'andI,br'andi:,
brandied,,,br'andId,,br'andi:d
branding,,,br'andIN,,
brandish,,,br'andIS,,
brandished,,,br'andISt,,
brandishes,,,br'andISIz,br'andISI#z,
brandishing,,,br'andISIN,,
brandling,,,br'andlIN,,
Brando,,,br'andoU,,
Brandon,,,br'and@n,,
brandreth,,,br'andr@T,,br'andrIT
brands,,,br'andz,,
Brandt,,,br'ant,,
brandy,,,br'andi:,,
brangle,,,br'aNg@l,,
Brangus,,,br'aNg@s,,
brank,,,br'aNk,,
branks,,,br'aNks,,
branle,,,br'an@l,,
branles,,,br'an@lz,,
branner,,,br'an@,br'an@`,
brannigan,,,br'anIg@n,,
branning,,,br'anIN,,
branny,,,br'ani:,,
brans,,,br'anz,,
bransle,,,br'ans@l,,br'an@l
bransles,,,br'ans@lz,,br'an@lz
brant,,,br'ant,,
Brantford,,,br'antf@d,br'antf@`d,
Braque,,,br'ak,,
bras,,,br'Az,,br'as
brash,,,br'aS,,
brasher,,,br'aS@,br'aS@`,
brashier,,,br'aSI@,br'aSI@`,br'aSi:@`
brashly,,,br'aSli:,,
brashness,,,br'aSn@s,,
brashy,,,br'aSi:,,
brasier,,,br'eIsI@,br'eIsI@`,br'eIZ@`
brasil,,,br'as@l,,br@s'i:l
brasilein,,,br'asIli:n,,br@z'Ili:In
Brasilia,,,bras'Ili:@,,br@s'Ilj@
brasilin,,,br'asIlIn,,br'az@lIn
brass,,,br'as,,
brassage,,,br'asIdZ,,
brassard,,,br'as@d,br'as@`d,br'asArd
brassart,,,br'asAt,br'asArt,
brassbound,,,br'asbaUnd,,br'asb'aUnd
brasserie,,,br'as@ri:,br'as@`ri:,br'as@`i:
brasses,,,br'asIz,br'asI#z,
brassica,,,br'asIk@,,br'as@k@
brassie,,,br'asi:,,
brassiere,,,brasi:'e@,brasi:'Er,br'azi:@`
brassware,,,br'aswe@,br'aswEr,
brassy,,,br'asi:,,
brat,,,br'at,,
Bratislava,,,bratIsl'Av@,,br'AtjIslAvA
brats,,,br'ats,,
Brattain,,,br'ateIn,,br@t'eIn
brattice,,,br'atIs,,
brattishing,,,br'atISIN,,
brattle,,,br'at@l,,
bratty,,,br'ati:,,
bratwurst,,,br'atw3:st,,br'atw@`st
Braun,,,br'O:n,,br'aUn
braunite,,,br'O:naIt,,br'aUnaIt
Braunschweig,,,br'O:nSweIg,,br'aUnSwaIg
braunschweiger,,,br'O:nSwaIg@,br'O:nSwaIg@`,br'aUnSwaIg@`
brava,,,br'Av@,,br'AvA
bravado,,,brav'AdoU,,br@v'AdoU
brave,,,br'eIv,,
braved,,,br'eIvd,,
bravely,,,br'eIvli:,,
braver,,,br'eIv@,br'eIv@`,
bravery,,,br'eIv@rI,br'eIv@`ri:,br'eIv@`i:
braves,,,br'eIvz,,
bravest,,,br'eIv@st,,
braving,,,br'eIvIN,,
bravissimo,,,brav'IsImoU,,brAv'Is@moU
bravo,,,br'AvoU,,
bravura,,,bravj'Ur@,,br@vj'Ur@
braw,,,br'O:,,br'Q
brawer,,,br'aw@,br'aw@`,br'O:@`
brawl,,,br'O:l,,
brawling,,,br'O:lIN,,
brawls,,,br'O:lz,,
brawly,,,br'O:li:,,br'Qli:
brawn,,,br'O:n,,
brawny,,,br'O:ni:,,
braxy,,,br'eIksi:,,br'aksi:
bray,,,br'eI,,
brayed,,,br'eId,,
brayer,,,br'eI@,br'eI@`,
Braz,,,br'az,,
braza,,,br'Az@,,br'ATA
braze,,,br'eIz,,
brazen,,,br'eIz@n,,
brazenly,,,br'eIz@nli:,,
brazenness,,,br'eIz@nn@s,,br'eIz@nIs
brazier,,,br'eIzI@,br'eIzI@`,br'eIzi:@`
braziers,,,br'eIzi:@z,br'eIzIrz,br'eIZ@`z
brazil,,,bra#z'Il,,br@z'Il
brazilein,,,br'azIli:n,,br@z'Ili:In
Brazilian,,,braz'Ili:@n,,br@z'Ilj@n
Brazilians,,,braz'Ili:@nz,,br@z'Ilj@nz
brazilin,,,br'azIlIn,,br'az@lIn
brazilwood,,,bra#z'IlwUd,,br@z'IlwUd
Brazos,,,br'AzoUz,,br'AzoUs
Brazzaville,,,br'aza#vIl,,br'az@vIl
breach,,,br'i:tS,,
breached,,,br'i:tSt,,
breaches,,,br'i:tSIz,br'i:tSI#z,
breaching,,,br'i:tSIN,,
bread,,,br'Ed,,
breadbasket,,,br'EdbaskIt,,br'Edbask@t
breadbaskets,,,br'EdbaskIts,,
breadboard,,,br'EdbO:d,br'Edbord,
breadbox,,,br'EdbQks,br'EdbAks,
breadcrumb,,,br'EdkrVm,,br'Edkr@m
breaded,,,br'EdId,br'EdI#d,
breadfruit,,,br'Edfru:t,,
breading,,,br'EdIN,,
breadline,,,br'EdlaIn,,
breadnut,,,br'EdnVt,,
breadroot,,,br'Edru:t,,
breads,,,br'Edz,,
breadstuff,,,br'EdstVf,,
breadstuffs,,,br'EdstVfs,,br'Edst@fs
breadth,,,br'EdT,,
breadthways,,,br'EdTweIz,,
breadwinner,,,br'EdwIn@,br'EdwIn@`,
breadwinners,,,br'EdwIn@z,br'EdwIn@`z,
bready,,,br'Edi:,,
break,,,br'eIk,,
breakable,,,br'eIk@b@l,,
breakage,,,br'eIkIdZ,,
breakaway,,,br'eIk@weI,,
breakdown,,,br'eIkdaUn,,
breakdowns,,,br'eIkdaUnz,,
breaker,,,br'eIk@,br'eIk@`,
breakers,,,br'eIk@z,br'eIk@`z,
breakfast,,,br'Ekf@st,,
breakfasts,,,br'Ekf@sts,,
breakfront,,,br'eIkfrVnt,,
breaking,,,br'eIkIN,,
breakneck,,,br'eIknEk,,
breakout,,,br'eIkaUt,,
breakouts,,,br'eIkaUts,,
breakpoint,,,br'eIkpOInt,,
breakpoints,,,br'eIkpOInts,,
breaks,,,br'eIks,,
breakthrough,,,br'eIkTru:,,
breakthroughs,,,br'eIkTru:z,,
breakup,,,br'eIkVp,,
breakups,,,br'eIkVps,,br'eIk@ps
breakwater,,,br'eIkwO:t@,br'eIkwO:t@`,
breakwind,,,br'eIkwInd,,
bream,,,br'i:m,,
breast,,,br'Est,,
breastbone,,,br'EstboUn,,
breasted,,,br'EstId,br'EstI#d,
breastfed,,,br'Estft,,br'EstfEd
breastfeed,,,br'Estfi:d,,
breastfeeding,,,br'Estfi:dIN,,
breastfeeds,,,br'Estfi:dz,,
breasting,,,br'EstIN,,
breastpin,,,br'EstpIn,,
breastplate,,,br'EstpleIt,,
breastplates,,,br'EstpleIts,,
breasts,,,br'Ests,,
breaststroke,,,br'EststroUk,,
breastsummer,,,br'EstsVm@,br'EstsVm@`,br'EsVm@`
breastwork,,,br'Estw3:k,,
breath,,,br'ET,,
breathable,,,br'i:D@b@l,,
breathalyser,,breathalyzer
breathalyzer,,,br'ETa#laIz@,br'ETa#laIz@`,br'ET@laIz@`
breathe,,,br'i:D,,
breathed,,,br'i:Dd,,
breather,,,br'i:D@,br'i:D@`,
breathes,,,br'i:Dz,,
breathing,,,br'i:DIN,,
breathless,,,br'ETl@s,,
breathlessly,,,br'ETl@slI,br'ETl@sli:,
breaths,,,br'ETs,,
breathtaking,,,br'ETteIkIN,,
breathtakingly,,,br'ETteIkINlI,br'ETteIkINli:,
breathy,,,br'ETi:,,
breccia,,,br'Eksi:@,,br'EtSi:@
brecciate,,,br'EksIeIt,,br'EtSi:eIt
brecciation,,,brEksI'eIS@n,,brEtSi:'eIS@n
Brecht,,,br'EtSt,,br'Ekt
Breckenridge,,,br'Ek@nrIdZ,,
bred,,,br'Ed,,
Breda,,,br'Ed@,,breId'A
brede,,,br'i:d,,
bree,,,br'i:,,
breech,,,br'i:tS,,
breechblock,,,br'i:tSblQk,br'i:tSblAk,
breechcloth,,,br'i:tSklQT,br'i:tSklO:T,
breechclout,,,br'i:tSklaUt,,
breeches,,,br'i:tSIz,br'i:tSI#z,br'ItSIz
breeching,,,br'i:tSIN,,
breechless,,,br'i:tSl@s,,br'i:tSlIs
breechloader,,,br'i:tSloUd@,br'i:tSloUd@`,
breechloading,,,br'i:tSloUdIN,,
breed,,,br'i:d,,
breeder,,,br'i:d@,br'i:d@`,
breeders,,,br'i:d@z,br'i:d@`z,
breeding,,,br'i:dIN,,
breeds,,,br'i:dz,,
breeks,,,br'i:ks,,
brees,,,br'i:z,,
breeze,,,br'i:z,,
breezed,,,br'i:zd,,
breezeless,,,br'i:zl@s,,
breezes,,,br'i:zIz,,
breezeway,,,br'i:zweI,,
breezy,,,br'i:zi:,,
Bregenz,,,br'i:dZ@nts,,br'eIgEnts
bregma,,,br'Egm@,,
bregmate,,,br'EgmeIt,,
brei,,,br'eI,,br'aI
Bremen,,,br'Em@n,,
Bremerhaven,,,br'Em@heIv@n,br'Em@`heIv@n,
bremsstrahlung,,,br'EmstrAlVN,,br'EmStrAl@N
Bren,,,br'En,,
Brenda,,,br'End@,,
Brendan,,,br'End@n,,
Brennan,,,br'En@n,,
Brenner,,,br'En@,br'En@`,
brent,,,br'Ent,,
Brenton,,,br'Ent@n,,
brents,,,br'Ents,,
Brentwood,,,br'EntwUd,,
Brescia,,,br'Esi:@,,br'EstS@
Brescian,,,br'Esi:@n,,br'ES@n
Breslau,,,br'EslaU,,br'EzlaU
bressummer,,,br'EsVm@,br'EsVm@`,br'Es@m@`
Brest,,,br'Est,,
Bret,,,br'Et,,
Bretagne,,,br'EtagnI,br'Etagni:,br@t'anj@
bretesse,,,br'EtEs,,br'EtIseI
brethren,,,br'EDr@n,,
breton,,,br'Et@n,,
Brett,,,br'Et,,
Breuer,,,brj'u:@,brj'u:@`,br'u:@`
breve,,,br'i:v,,
brevet,,,br'EvIt,,br@v'Et
brevets,,,br'EvIts,,br@v'Ets
breviary,,,br'Evj@rI,br'Evj@`ri:,br'i:vi:Eri:
breviate,,,br'EvIeIt,,br'i:vi:It
brevier,,,br'EvI@,br'EvI@`,br@v'i:r
brevipennate,,,br'EvaIpneIt,,brEv@p'EneIt
brevity,,,br'EvIti:,,
brew,,,br'u:,,
brewage,,,br'u:IdZ,,
brewed,,,br'u:d,,
brewer,,,br'u:@,br'u:@`,
breweries,,,br'u:@ri:z,br'u:@`ri:z,br'u:@`i:z
brewers,,,br'u:@z,br'u:@`z,
brewery,,,br'u:@ri:,br'u:@`ri:,br'u:@`i:
brewhouse,,,br'u:haUs,,
brewing,,,br'u:IN,,
brewis,,,br'u:i:z,,br'u:Is
brewmaster,,,br'u:mast@,br'u:mast@`,
brews,,,br'u:z,,
brewster,,,br'u:st@,br'u:st@`,
Brezhnev,,,br'EZnEv,,br'Ezn@v
Brian,,,br'aI@n,,
Briana,,,br'aI@n@,,bri:'an@
Briand,,,br'aI@nd,,
Brianna,,,brI'an@,,bri:'an@
briar,,brier
briard,,,brI'@d,brI'@`d,bri:'Ar
Briareus,,,br'aI@rI@s,br'aI@`rI@s,braI'e@i:@s
briarroot,,,br'aI@ru:t,br'aI@`ru:t,br'aI@`u:t
briarwood,,,br'aI@wUd,br'aI@`wUd,
bribe,,,br'aIb,,
bribed,,,br'aIbd,,
bribery,,,br'aIb@rI,br'aIb@`ri:,br'aIb@`i:
bribes,,,br'aIbz,,
bribing,,,br'aIbIN,,
Brice,,,br'aIs,,
brick,,,br'Ik,,
brickbat,,,br'Ikbat,,
brickbats,,,br'Ikbats,,
brickfield,,,br'Ikfi:ld,,
brickfielder,,,br'Ikfi:ld@,br'Ikfi:ld@`,
brickie,,,br'Iki:,,br'i:ki:
brickkiln,,,br'IkkIln,,br'IkIl
bricklayer,,,br'IkleI@,br'IkleI@`,
bricklayers,,,br'IkleI@z,br'IkleI@`z,
bricklaying,,,br'IkleIIN,,
brickle,,,br'Ik@l,,
brickmaking,,,br'IkmeIkIN,,
bricks,,,br'Iks,,
brickwork,,,br'Ikw3:k,,
bricky,,,br'Iki:,,
brickyard,,,br'IkjAd,br'IkjArd,
bricole,,,br'IkoUl,,brIk'oUl
bridal,,,br'aId@l,,
bridally,,,br'aId@li:,,
Bridalveil,,,br'Ida#lveIl,,br'aId@lveIl
bride,,,br'aId,,
bridegroom,,,br'aIdgru:m,,
brides,,,br'aIdz,,
bridesmaid,,,br'aIdsmeId,,br'aIdzmeId
bridesmaids,,,br'aIdsmeIdz,,br'aIdzmeIdz
bridewell,,,br'aIdwEl,,
bridge,,,br'IdZ,,
bridgeboard,,,br'IdZbO:d,br'IdZbord,
bridged,,,br'IdZd,,
bridgehead,,,br'IdZhEd,,
Bridgeman,,,br'IdZm@n,,
Bridgeport,,,br'IdZpO:t,br'IdZport,br'IdZpO:rt
Bridger,,,br'IdZ@,br'IdZ@`,
bridges,,,br'IdZIz,br'IdZI#z,
Bridget,,,br'IdZIt,,
Bridgetown,,,br'IdZItaUn,,br'IdZtaUn
Bridgett,,,br'IdZIt,,
Bridgette,,,br'IdZIt,,brIdZ'i:t
bridgework,,,br'IdZw3:k,,
bridging,,,br'IdZIN,,
Bridgman,,,br'IdZm@n,,
bridie,,,br'Idi:,,
bridle,,,br'aId@l,,
bridled,,,br'aId@ld,,
bridlewise,,,br'aId@lwaIz,,
bridoon,,,brId'u:n,,braId'u:n
brie,,,br'i:,,
brief,,,br'i:f,,
briefcase,,,br'i:fkeIs,,
briefcases,,,br'i:fkeIsIz,br'i:fkeIsI#z,
briefed,,,br'i:ft,,
briefer,,,br'i:f@,br'i:f@`,
briefers,,,br'i:f@z,br'i:f@`z,
briefest,,,br'i:f@st,,
briefing,,,br'i:fIN,,
briefings,,,br'i:fINz,,
briefless,,,br'i:fl@s,,br'i:flIs
briefly,,,br'i:fli:,,
briefs,,,br'i:fs,,
brier,,,br'aI@,br'aI@`,
brierroot,,,br'aI@ru:t,br'aI@`ru:t,br'aI@`u:t
brierwood,,,br'aI@wUd,br'aI@`wUd,
brig,,,br'Ig,,
brigade,,,brIg'eId,,
brigades,,,brIg'eIdz,,
brigadier,,,brIga#d'i:@,brIga#d'Ir,brIg@d'Ir
brigalow,,,br'Iga#loU,,br'i:g@loU
brigand,,,br'Igand,,br'Ig@nd
brigandage,,,br'IgandIdZ,,br'Ig@ndIdZ
brigandine,,,br'Iga#ndi:n,,br'Ig@ndi:n
brigands,,,br'Igandz,,
brigantine,,,br'Iganti:n,br'Iga#nti:n,br'Ig@nti:n
Briggs,,,br'Igz,,
Brigham,,,br'Ig@m,br'Igam,
bright,,,br'aIt,,
brighten,,,br'aIt@n,,
brightened,,,br'aIt@nd,,
brightening,,,br'aIt@nIN,,
brightens,,,br'aIt@nz,,
brighter,,,br'aIt@,br'aIt@`,
brightest,,,br'aIt@st,,
brightly,,,br'aItli:,,
brightness,,,br'aItn@s,,
Brighton,,,br'aIt@n,,
brightwork,,,br'aItw3:k,,
Brigid,,,br'IdZId,,
Brigit,,,br'IdZIt,,
Brigitte,,,br'IdZIt,,
brill,,,br'Il,,
brilliance,,,br'Ili:@ns,,br'Ilj@ns
brilliancy,,,br'IlI@nsi:,,br'Ilj@nsi:
brilliant,,,br'IlI@nt,,br'Ilj@nt
brilliantine,,,br'IlI@nti:n,,br'Ilj@nti:n
brilliantly,,,br'IlI@ntli:,,br'Ilj@ntli:
brim,,,br'Im,,
brimful,,,br'Imf@l,,br'Imf'Ul
brimmed,,,br'Imd,,
brimmer,,,br'Im@,br'Im@`,
brimming,,,br'ImIN,,
brimstone,,,br'ImstoUn,,
brin,,,br'In,,
brinded,,,br'IndId,br'IndI#d,
brindisi,,,br'IndIsi:,,br'i:ndi:zi:
brindle,,,br'Ind@l,,
brindled,,,br'Ind@ld,,
brine,,,br'aIn,,
briner,,,br'aIn@,br'aIn@`,
brines,,,br'aInz,,
bring,,,br'IN,,
bringing,,,br'ININ,,
brings,,,br'INz,,
brining,,,br'aInIN,,
brinjal,,,br'IndZ@l,,br'i:ndZ@l
brink,,,br'INk,,
Brinkley,,,br'INklI,br'INkli:,
brinkman,,,br'INkm@n,,
brinkmanship,,,br'INkm@nSIp,,
brinks,,,br'INks,,
briny,,,br'aIni:,,
brio,,,br'i:oU,,br'aIoU
brioche,,,bri:'oUS,,
briolette,,,brIoUl'Et,,bri:@l'Et
briony,,,brI'Qni:,brI'Ani:,br'aI@ni:
briquette,,,brIk'Et,,
brisance,,,br'Is@ns,,brIz'Ans
brisant,,,br'Is@nt,,brIz'Ant
Brisbane,,,br'Isb@n,,br'IzbeIn
brise,,,br'aIz,,bri:z'eI
brisk,,,br'Isk,,
brisker,,,br'Isk@,br'Isk@`,
brisket,,,br'IskIt,,br'Isk@t
briskly,,,br'Iskli:,,
brisling,,,br'IslIN,,
bristle,,,br'Is@l,,
bristled,,,br'Is@ld,,
bristles,,,br'Is@lz,,
bristletail,,,br'Is@lteIl,,
bristling,,,br'IslIN,,br'Is@lIN
bristly,,,br'Istli:,,br'i:sli:
bristol,,,br'Ist@l,,
bristols,,,br'Ist@lz,,br'i:st@lz
brisure,,,br'IZ@,br'IZ@`,brIZ'Ur
brit,,,br'It,,
Britain,,,br'It@n,,
britannia,,,brIt'ani:@,,
Britannic,,,brIt'anIk,,
Britannica,,,brIt'anIk@,,
britches,,,br'ItSIz,br'ItSI#z,br'ItS@z
brith,,,br'IT,,b@`'i:t
Briticism,,,br'ItIsIz@m,,
British,,,br'ItIS,,
Britisher,,,br'ItIS@,br'ItIS@`,
Britishism,,,br'ItISIz@m,,
Briton,,,br'It@n,,
Britons,,,br'It@nz,,
brits,,,br'Its,,
britska,,,br'Itsk@,,
britt,,,br'It,,
Brittany,,,br'It@ni:,,
Britten,,,br'It@n,,
brittle,,,br'It@l,,
brittlebush,,,br'It@lbUS,,
brittler,,,br'Itl@,br'Itl@`,
brittlest,,,br'Itl@st,,br'ItlIst
britts,,,br'Its,,
britzka,,,br'Itsk@,,
Brix,,,br'Iks,,
Brno,,,bi:ArEn'oU,,b'3:noU
bro,,,br'oU,,
broach,,,br'oUtS,,
broached,,,br'oUtSt,,
broaches,,,br'oUtSIz,br'oUtSI#z,
broaching,,,br'oUtSIN,,
broad,,,br'O:d,,
broadax,,,br'O:daks,,br'Qdaks
broadband,,,br'O:dband,,
broadbill,,,br'O:dbIl,,br'QdbIl
broadbrim,,,br'O:dbrIm,br'O:dbrI#m,br'QdbrIm
broadcast,,,br'O:dkast,,
broadcaster,,,br'O:dkast@,br'O:dkast@`,
broadcasters,,,br'O:dkast@z,br'O:dkast@`z,
broadcasting,,,br'O:dkastIN,,
broadcasts,,,br'O:dkasts,,
broadcloth,,,br'O:dklQT,br'O:dklO:T,br'QdklQT
broaden,,,br'O:d@n,,
broadened,,,br'O:d@nd,,
broadening,,,br'O:d@nIN,,
broadens,,,br'O:d@nz,,
broader,,,br'O:d@,br'O:d@`,
broadest,,,br'O:d@st,,br'O:dIst
broadleaf,,,br'O:dli:f,,br'Qdli:f
broadloom,,,br'O:dlu:m,,br'Qdlu:m
broadly,,,br'O:dli:,,
broads,,,br'O:dz,,br'Qdz
broadsheet,,,br'O:dSi:t,,br'QdSi:t
broadside,,,br'O:dsaId,,
broadsided,,,br'O:dsaIdId,br'O:dsaIdI#d,
broadsword,,,br'O:dsO:d,br'O:dsord,br'O:dsO:rd
broadtail,,,br'O:dteIl,,br'QdteIl
broadway,,,br'O:dweI,,
Brobdingnag,,,br'QbdINnag,br'AbdINnag,
brobdingnagian,,,brQbdINn'eIdZ@n,brAbdINn'eIdZ@n,brO:bdIgn'agi:@n
Brobdingnagians,,,brQbdINn'eIdZ@nz,brAbdINn'eIdZ@nz,brO:bdIgn'agi:@nz
Broca,,,br'oUk@,,
brocade,,,br'QkeId,br'AkeId,broUk'eId
brocaded,,,br'QkeIdId,br'AkeIdI#d,
brocades,,,br'QkeIdz,br'AkeIdz,broUk'eIdz
brocatel,,,br'Qkat@l,br'Akat@l,brQk@t'El
broccoli,,,br'Qk@li:,br'Ak@li:,
broch,,,br'Qk,br'Ak,
broche,,,br'QtS,br'AtS,broUS'eI
brochette,,,br@tS'Et,,broUS'Et
brochure,,,br'oUS@,broUS'Urr,broUS'Ur
brochures,,,br'oUS@z,broUS'Urrz,broUS'Urz
brock,,,br'Qk,br'Ak,
brockage,,,br'QkIdZ,br'AkIdZ,
Brocken,,,br'Qk@n,br'Ak@n,
brocket,,,br'QkIt,br'AkIt,
Brockman,,,br'Qkm@n,br'Akm@n,
brogan,,,br'oUg@n,,
brogh,,,br'Qg,br'Ag,br'Qk
Broglie,,,br'Qgli:,br'Agli:,brQgl'i:
brogue,,,br'oUg,,
broider,,,br'OId@,br'OId@`,
broidery,,,br'OId@ri:,br'OId@`ri:,br'OId@`i:
broil,,,br'OIl,,
broiled,,,br'OIld,,
broiler,,,br'OIl@,br'OIl@`,
broilers,,,br'OIl@z,br'OIl@`z,
broiling,,,br'OIlIN,,
brokage,,,br'QkIdZ,br'AkIdZ,br'oUkIdZ
Brokaw,,,br'QkO:,br'AkO:,br'oUkO:
broke,,,br'oUk,,
broken,,,br'oUk@n,,
brokenhearted,,,br'oUk@nhAtId,br'oUk@nhArtI#d,broUk@nh'Art@d
brokenly,,,br'oUk@nli:,,
broker,,,br'oUk@,br'oUk@`,
brokerage,,,br'oUkrIdZ,,br'oUk@`IdZ
brokerages,,,br'oUkrIdZIz,br'oUkrIdZI#z,br'oUk@`IdZIz
brokered,,,br'oUk@d,br'oUk@`d,
brokering,,,br'oUk@rIN,br'oUk@`rIN,br'oUk@`IN
brokers,,,br'oUk@z,br'oUk@`z,
broking,,,br'oUkIN,,
brolly,,,br'Qli:,br'Ali:,
bromal,,,br'oUm@l,,br'oUmal
bromate,,,br'QmeIt,br'AmeIt,br'oUmeIt
Bromberg,,,br'Qm3:g,br'Am3:g,br'Qmb3:g
brome,,,br'oUm,,
bromelia,,,broUm'i:li:@,,
bromeliaceous,,,broUmi:lI'eIS@s,,broUmi:li:'eIS@s
bromeliad,,,broUm'i:lIad,,
bromeliads,,,broUm'i:lIadz,,
bromeosin,,,br'oUm@sIn,,broUm'i:@sIn
bromhidrosis,,,brQmhIdr'oUsIs,brAmhIdr'oUsIs,broUmIdr'oUsIs
bromic,,,br'QmIk,br'AmIk,br'oUmIk
bromide,,,br'QmaId,br'AmaId,br'oUmaId
bromides,,,br'QmaIdz,br'AmaIdz,br'oUmaIdz
bromidic,,,br@m'IdIk,,broUm'IdIk
bromidrosis,,,brQmIdr'oUsIs,brAmIdr'oUsIs,broUmIdr'oUsIs
brominate,,,br'QmIneIt,br'AmI#neIt,br'oUm@neIt
bromine,,,br'QmaIn,br'AmaIn,br'oUmi:n
brominism,,,br'QmInIz@m,br'AmInIz@m,br'oUm@nIz@m
bromise,,bromize
bromism,,,br'oUmIz@m,,
bromize,,,br'QmaIz,br'AmaIz,br'oUmaIz
Bromley,,,br'QmlI,br'Amli:,br'Qmli:
brommer,,,br'Qm@,br'Am@`,br'Qm@`
bromoform,,,br'Qm@fO:m,br'Am@fO:rm,br'oUm@fO:rm
bronc,,,br'QNk,br'ANk,
bronchi,,,br'QnkaI,br'AnkaI,br'QNki:
bronchia,,,br'Qnki:@,br'Anki:@,br'QNki:@
bronchial,,,br'QnkI@l,br'AnkI@l,br'QntSi:@l
bronchially,,,br'QnkI@li:,br'AnkI@li:,br'QNki:@li:
bronchiectasis,,,br'QnkaIktasi:z,br'AnkaIktasi:z,brQNki:'Ekt@sIs
bronchiolar,,,brQnkI'oUl@,brAnkI'oUl@`,brQNki:'oUl@`
bronchiole,,,br'QnkIoUl,br'AnkIoUl,br'QNki:oUl
bronchitic,,,br@nk'ItIk,,brQNk'ItIk
bronchitis,,,br@nk'aItIs,,brQNk'aItIs
bronchopneumonia,,,brQnk@nju:m'oUni:@,brAnk@nju:m'oUni:@,brQNkoUnu:m'oUnj@
bronchoscope,,,br'Qnk@skoUp,br'Ank@skoUp,br'Qnk@sk'oUp
bronchoscopist,,,br'Qnk@skQpIst,br'Ank@skApIst,brQNk'Qsk@pIst
bronchoscopy,,,br@nk'Qsk@pI,br@nk'Ask@pi:,brQNk'Qsk@pi:
bronchospasm,,,br'Qnk@spaz@m,br'Ank@spaz@m,br'QNk@spaz@m
bronchus,,,br'Qnk@s,br'Ank@s,br'QNk@s
bronco,,,br'QnkoU,br'AnkoU,br'QNkoU
broncobuster,,,br'Qnk@bVst@,br'Ank@bVst@`,br'QNkoUbVst@`
broncos,,,br'QnkoUz,br'AnkoUz,br'QNkoUz
Bronson,,,br'Qns@n,br'Ans@n,
Bronte,,,br'Qnt,br'Ant,br'Qnti:
brontosaur,,,br'Qnt@sO:,br'Ant@sO:r,br'Qnt@sQr
brontosaurus,,,brQnt@s'O:r@s,brAnt@s'O:r@s,brQnt@s'Ar@s
Bronx,,,br'QNks,br'ANks,
bronze,,,br'Qnz,br'Anz,
bronzed,,,br'Qnzd,br'Anzd,
bronzen,,,br'Qnz@n,br'Anz@n,
bronzes,,,br'QnzIz,br'AnzIz,br'Qnz@z
bronzite,,,br'QnzaIt,br'AnzaIt,
broo,,,br'u:,,
brooch,,,br'oUtS,,
brood,,,br'u:d,,
brooded,,,br'u:dId,br'u:dI#d,
brooder,,,br'u:d@,br'u:d@`,
brooding,,,br'u:dIN,,
broodmare,,,br'u:dme@,br'u:dmEr,
broody,,,br'u:di:,,
brook,,,br'Uk,,
Brooke,,,br'Uk,,
brookie,,,br'Uki:,,
brooking,,,br'UkIN,,
brookite,,,br'UkaIt,,
brooklet,,,br'Ukl@t,,br'UklIt
brooklime,,,br'UklaIm,,
Brooklyn,,,br'UklIn,,
Brooklynese,,,brUklaIn'i:z,,br'Ukl@ni:z
Brooklynite,,,br'UklInaIt,,br'Ukl@naIt
brooks,,,br'Uks,,
brookweed,,,br'Ukwi:d,,
broom,,,br'u:m,,
broomcorn,,,br'u:mkO:n,br'u:mkO:rn,
broomrape,,,br'u:mreIp,,
brooms,,,br'u:mz,,
broomstick,,,br'u:mstIk,,
broomsticks,,,br'u:mstIks,,
brose,,,br'oUz,,
broth,,,br'QT,br'AT,br'O:T
brothel,,,br'QT@l,br'AT@l,
brothels,,,br'QT@lz,br'AT@lz,
brother,,,br'VD@,br'VD@`,
brotherhood,,,br'VD@hUd,br'VD@`hUd,
brotherhoods,,,br'VD@hUdz,br'VD@`hUdz,
brotherly,,,br'VD@li:,br'VD@`li:,
brothers,,,br'VD@z,br'VD@`z,
broths,,,br'QTs,br'ATs,br'O:Ts
brough,,,br'@,,br'aU
brougham,,,br'Vf@m,br'Vfam,br'u:g@m
brought,,,br'O:t,,
brouhaha,,,braUh'Ah@,,bru:h'AhA
brow,,,br'aU,,
browbeat,,,br'aUbi:t,,
browed,,,br'aUd,,
brown,,,br'aUn,,
Browne,,,br'aUn,,
browned,,,br'aUnd,,
browner,,,br'aUn@,br'aUn@`,
brownest,,,br'aUn@st,,br'aUnIst
brownfield,,,br'aUnfi:ld,,
brownfields,,,br'aUnfi:ldz,,
brownie,,,br'aUni:,,
brownies,,,br'aUnIz,,br'aUni:z
browning,,,br'aUnIN,,
brownish,,,br'aUnIS,,
brownout,,,br'aUnaUt,,
brownouts,,,br'aUnaUts,,
browns,,,br'aUnz,,
brownstone,,,br'aUnstoUn,,
Brownsville,,,br'aUnzvIl,,
brows,,,br'aUz,,
browse,,,br'aUz,,
browseable,,,br'aUz@b@l,,
browsed,,,br'aUzd,,
browser,,,br'aUz@,br'aUz@`,
browsers,,,br'aUz@z,br'aUz@`z,
browsing,,,br'aUzIN,,
Broz,,,br'Qz,br'Az,
Brubeck,,,br'u:bEk,,
Bruce,,,br'u:s,,
brucella,,,bru:tS'El@,,bru:s'El@
brucellosis,,,bru:sIl'oUsIs,,bru:s@l'oUsIs
Bruch,,,br'VtS,,
